复旦计算机,句子数量,464392,方法,mi,support,10,阈值,300
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
旅行商,旅行/商,10,25,67,2772.48955224
词汇概率,词汇/概率,22,40,805,317.286459627
消去,消/去,28,52,415,602.547544022
IDL编译器,IDL/编译器,18,74,104,1086.15592516
4月生,4月/生,12,21,859,308.925328455
交叉点处,交叉点/处,13,24,552,455.698671498
工业总公司,工业/总公司,11,786,21,309.482127711
李亚普诺夫,李亚普诺/夫,31,31,51,9105.7254902
局域网络,局域网/络,16,187,81,490.544134152
门禁,门/禁,14,185,16,2196.44864865
索引纪录,索引/纪录,16,359,43,481.328755587
研究生院,研究生/院,14,220,38,777.689952153
VDBF框架,VDBF/框架,12,17,698,469.636271701
No.41999,No.4/1999,12,58,203,473.305928317
临界区,临界/区,22,55,444,418.371171171
远程医疗,远程/医疗,25,497,58,402.754457781
事实反驳,事实/反驳,33,151,41,2475.35713132
背景色,背景/色,16,295,58,434.264874342
诸njt,诸/njt,14,46,14,10095.4782609
Hough变换,Hough/变换,15,15,962,482.735966736
矢量化,矢/量化,19,39,252,897.786731787
帐户,帐/户,29,192,58,1209.35416667
1936年生,1936年/生,15,18,859,450.516103997
国际互联网,国际/互联网,13,282,64,334.502216312
锁住,锁/住,12,270,34,607.048366013
参数值,参/数值,20,36,373,691.677092642
主线程,主线/程,37,46,853,437.904684235
简单明了,简单/明了,12,1271,14,313.178824323
加减速,加/减速,11,459,29,383.766208399
余篇,余/篇,36,138,117,1035.43366778
回调,回/调,70,351,259,357.582197582
西安710072,西安/710072,19,257,27,1271.57342557
穷公理,穷/公理,19,87,171,593.093231162
收到原稿,收到/原稿,89,541,130,587.670809043
1990年毕业,1990年/毕业,10,40,143,811.874125874
消隐,消/隐,13,52,266,436.458646617
BOOT区,BOOT/区,12,14,444,896.50965251
APPLICATIONRESERCHOFCOMPUTERS2000Vol.17No.1,APPLICATIONRESERCHOFCOMPUTERS2000Vol.17/No.1,18,18,80,5804.9
门限,门/限,42,185,122,864.176517501
余料,余/料,24,138,53,1523.84577523
社会承诺,社会/承诺,59,236,142,817.591549296
紧致,紧/致,15,82,36,2359.71544715
基波幅,基/波幅,18,357,24,975.613445378
镜头渐变,镜头/渐变,13,166,29,1254.07062734
浮点数,浮/点数,49,83,109,2515.22139936
映像,映/像,14,18,475,760.407953216
操作员站,操作员/站,10,41,202,560.72446269
1970年生,1970年/生,20,35,859,308.925328455
全景深度,全景/深度,12,143,108,360.832944833
电子出版物,电子/出版物,16,828,20,448.687922705
缩进,缩/进,23,79,293,461.442778762
发表论文,发表/论文,46,202,299,353.687738005
专用DSS,专用/DSS,10,207,43,521.730142681
检索提问,检索/提问,21,570,50,342.183578947
专家会诊,专家/会诊,11,403,31,408.893940607
凸多面体,凸/多面体,47,144,77,1968.47258297
主色调,主/色调,10,575,19,425.072768879
排工序,排/工序,14,173,102,368.439759719
