复旦经济,句子数量,815851,方法,mi,support,10,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
墙鹑,墙/鹑,13,105,367,275.231944985
回事,回/事,41,283,432,273.605311805
逯谱,逯/谱,10,233,43,814.303822737
云笠,云/笠,16,87,945,158.774140972
斯密,斯/密,43,320,83,1320.84310994
追溯重,追溯/重,15,128,886,107.909186301
浞掷,浞/掷,15,88,57,2439.7458134
蹲嗜,蹲/嗜,11,248,21,1723.18759601
蹲实,蹲/实,10,248,326,100.911710865
江总书记,江/总书记,22,184,68,1434.5206202
鼎盛时期,鼎盛/时期,13,16,3034,218.483499506
反应迟钝,反应/迟钝,11,299,18,1667.47696024
蹲收,蹲/收,29,248,519,183.818750388
95％以上,95％/以上,14,40,1974,144.654432624
大胆探索,大胆/探索,15,144,635,133.833825459
标准认证,标准/认证,13,1446,70,104.782286109
调节为辅,调节/为辅,13,1320,50,160.697924242
回稳,回/稳,13,283,142,263.92432688
人类学笔记,人类学/笔记,14,68,29,5792.04563895
塘鱼,塘/鱼,12,47,88,2367.07253385
生活必需品,生活/必需品,20,2598,49,128.175676737
壑倒,壑/倒,15,99,201,614.993969546
水资源短缺,水资源/短缺,10,73,817,136.793648665
土地流转,土地/流转,54,1944,114,198.794103314
主席格林斯潘,主席/格林斯潘,12,111,40,2205.0027027
柿俊,柿/俊,10,88,60,1545.17234848
合同金额,合同/金额,38,531,254,229.861485535
Ｊ紫,Ｊ/紫,11,142,29,2179.30087421
挠攀,挠/攀,23,151,174,714.187904392
密集度,密集/度,43,286,650,188.712173211
剩余控制权,剩余/控制权,20,578,83,340.122149498
贪污腐败,贪污/腐败,14,44,235,1104.63384913
遭受损失,遭受/损失,18,156,665,141.558877964
优质高效,优质/高效,12,228,275,156.143732057
加入世界贸易组织,加入/世界贸易组织,74,860,204,344.123198814
Ｊ剑,Ｊ/剑,12,142,147,469.014659385
Ｊ健,Ｊ/健,15,142,140,615.581740443
煌耆,煌/耆,14,140,61,1337.46065574
蹲剩,蹲/剩,24,248,104,759.166563275
Ｊ导,Ｊ/导,10,142,265,216.808663301
边检,边/检,12,138,33,2149.80500659
中间消耗,中间/消耗,28,342,275,242.890249867
重化工业,重化工/业,56,79,1615,358.095826312
买卖双方,买卖/双方,33,198,493,275.811697093
首脑会议,首脑/会议,54,70,670,939.359360341
翻译出版,翻译/出版,23,96,431,453.51346191
⒐芾,⒐/芾,16,161,190,426.728211834
热门话题,热门/话题,16,38,59,5822.30865299
苯拥,苯/拥,11,111,53,1525.47356791
发行债券,发行/债券,28,626,357,102.217753555
互为因果,互为/因果,23,47,79,5053.74979801
督鹑,督/鹑,15,68,367,490.373657637
时间序列,时间/序列,31,2115,98,122.021426159
副书记,副/书记,10,324,45,559.568587106
件事,件/事,30,296,432,191.40648461
寿命周期,寿命/周期,13,66,1200,133.914936869
省委党校,省委/党校,24,69,94,3018.87511563
货币空转,货币/空转,18,5473,21,127.77285897
挠行,挠/行,14,151,544,139.047453253
1.5万亿美元,1.5万亿/美元,15,16,3855,198.407344358
演进轨迹,演进/轨迹,16,281,157,295.886302332
搭便车,搭/便车,52,77,53,10395.5530507
责任编辑,责任/编辑,627,1633,686,456.633837631
数理统计学,数理/统计学,17,71,256,763.064865757
第1卷,第1/卷,106,385,1081,207.792702764
姆绞,姆/绞,21,328,204,256.050798063
蹲驶,蹲/驶,14,248,50,921.122096774
应变能力,应变/能力,28,51,3601,124.387169141
富有活力,富有/活力,14,160,561,127.249487522
上下波动,上下/波动,24,109,1212,148.215278409
备查簿,备查/簿,10,10,70,11655.0142857
逯疲,逯/疲,16,233,191,293.319911017
股市暴跌,股市/暴跌,11,829,53,204.255206318
姆峙,姆/峙,10,328,87,285.902368937
Ｎ夜,Ｎ/夜,23,145,307,421.533707739
深圳经济特区,深圳/经济特区,95,1371,254,222.568287416
充满生机,充满/生机,26,189,99,1133.67142323
冗余人员,冗余/人员,14,21,1956,278.067825494
经济学消息报,经济学/消息报,36,6302,36,129.459060616
经纪业务,经纪/业务,18,68,1106,195.262711414
⒄菇,⒄/菇,17,852,42,387.588503242
落后面貌,落后/面貌,14,1232,68,136.338736631
第27页,第27/页,10,19,3492,122.96542473
抵销,抵/销,29,231,192,533.452358405
⒄钩,⒄/钩,10,852,70,136.795942321
⒄顾,⒄/顾,19,852,102,178.371179693
鑫侍,鑫/侍,16,31,282,1493.20704644
⒄骨,⒄/骨,14,852,19,705.579070917
⒄鼓,⒄/鼓,14,852,37,362.324387768
匀唬,匀/唬,11,165,151,360.199116998
畸型,畸/型,20,30,1712,317.698987539
岗位责任制,岗位/责任制,10,212,233,165.165398008
依法办事,依法/办事,10,268,109,279.286252225
产权清晰,产权/清晰,85,2450,269,105.223177301
魈宓,魈/宓,21,107,154,1039.74214104
严厉打击,严厉/打击,10,67,202,602.815871139
≡瘛,≡/瘛,16,97,63,2136.08509246
⒔鹑,⒔/鹑,19,86,367,491.133926874
谕蹲,谕/蹲,11,80,248,452.336743952
匀皇,匀/皇,12,165,214,277.264570943
沟囊,沟/囊,14,350,243,134.296460905
灵活多样,灵活/多样,13,354,68,440.597499169
升至,升/至,50,206,1812,109.283712681
陕西财经,陕西/财经,12,99,339,291.713953696
钠笠,钠/笠,43,101,945,367.558206297
绞健,绞/健,15,204,140,428.493172269
倒U,倒/U,11,201,92,485.310458577
绞剑,绞/剑,32,204,147,870.589302388
高度重视,高度/重视,155,1026,1097,112.354005519
国内生产总值,国内/生产总值,901,4268,1425,120.863833835
民族团结,民族/团结,28,1703,133,100.856198041
黾恿,黾/恿,11,112,26,3081.85473901
黾樱,黾/樱,11,112,36,2225.78397817
沟闹,沟/闹,19,350,366,121.008345043
陆路运输,陆路/运输,10,48,721,235.740580213
绅士阶层,绅士/阶层,27,57,386,1001.18066539
呈现出,呈现/出,286,595,3674,106.73841896
绞谐,绞/谐,29,204,832,139.397618543
主板,主/板,29,183,177,730.439906147
交通不便,交通/不便,29,758,41,761.299922775
公费医疗,公费/医疗,21,22,374,2082.26434127
1万亿美元,1万亿/美元,20,41,3855,103.23634178
学术讨论会,学术/讨论会,19,439,31,1139.03806305
造币,造/币,13,87,176,692.663466562
临界值,临界/值,11,21,764,559.359324358
麦金农教授,麦金农/教授,10,35,540,431.667195767
赡艿,赡/艿,20,188,142,611.215912496
留住人才,留住/人才,13,30,1638,215.833597884
⒄挂,⒄/挂,17,852,95,171.354917223
⒄构,⒄/构,26,852,120,207.473845853
区别对待,区别/对待,21,556,227,135.746767344
抵校,抵/校,13,231,205,223.969232394
⒄狗,⒄/狗,12,852,64,179.544674296
福利分房,福利/分房,17,824,24,701.328226133
相互依存,相互/依存,84,1562,135,324.993996301
权力下放,权力/下放,24,902,86,252.416129531
农用生产资料,农用/生产资料,21,46,822,453.106712155
抵减,抵/减,14,231,336,147.159271284
蔡ｆ,蔡/ｆ,34,55,37,13630.9257985
⒄刮,⒄/刮,18,852,65,265.173672806
网上购物,网上/购物,28,318,93,772.429431257
⒄固,⒄/固,10,852,65,147.318707114
⒄垢,⒄/垢,11,852,41,256.909452651
懿棵,懿/棵,10,35,137,1701.46193952
略高于,略/高于,28,262,756,115.330930167
