复旦计算机,句子数量,464392,方法,mi,support,10,阈值,100
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
旅行商,旅行/商,10,25,67,2772.48955224
西南交通,西南/交通,10,30,527,293.733080329
IDL编译器,IDL/编译器,18,74,104,1086.15592516
MOQL语言,MOQL/语言,11,27,1709,110.706109269
10月生,10月/生,17,51,859,180.206441599
进程迁移,进程/迁移,38,952,156,118.824714501
刚刚开始,刚刚/开始,10,23,697,289.683737758
4月生,4月/生,12,21,859,308.925328455
交叉点处,交叉点/处,13,24,552,455.698671498
工业总公司,工业/总公司,11,786,21,309.482127711
回放,回/放,27,351,285,125.34197031
李亚普诺夫,李亚普诺/夫,31,31,51,9105.7254902
局域网络,局域网/络,16,187,81,490.544134152
门禁,门/禁,14,185,16,2196.44864865
20世纪,20/世纪,17,409,83,232.558517689
索引纪录,索引/纪录,16,359,43,481.328755587
目的主义,目的/主义,11,666,32,239.691816817
研究生院,研究生/院,14,220,38,777.689952153
着眼于,着眼/于,12,13,3343,128.228997446
办公自动化,办公/自动化,13,46,1120,117.179658385
VDBF框架,VDBF/框架,12,17,698,469.636271701
No.41999,No.4/1999,12,58,203,473.305928317
模拟退火,模拟/退火,68,816,164,235.971544715
吉林大学,吉林/大学,14,17,1861,205.502670923
临界区,临界/区,22,55,444,418.371171171
绝对稳定性,绝对/稳定性,19,115,603,127.239858678
剩余带宽,剩余/带宽,11,61,449,186.509620651
挠性,挠/性,11,15,2780,122.501486811
数值积分,数值/积分,23,373,201,142.464834007
国民经济各,国民经济/各,10,23,1693,119.26140887
开关电源,开关/电源,14,247,116,226.912187631
左部,左/部,13,196,197,156.352843676
负载平衡,负载/平衡,76,340,386,268.925571472
骨架提取,骨架/提取,18,88,476,199.557295646
额外开销,额外/开销,18,83,411,245.040189957
远程医疗,远程/医疗,25,497,58,402.754457781
事实反驳,事实/反驳,33,151,41,2475.35713132
截面序列,截面/序列,33,65,792,297.687179487
常量序,常量/序,21,122,363,220.210269611
背景色,背景/色,16,295,58,434.264874342
诸njt,诸/njt,14,46,14,10095.4782609
Hough变换,Hough/变换,15,15,962,482.735966736
扩张矩阵,扩张/矩阵,58,117,1895,121.483598313
身份认证,身份/认证,35,165,385,255.863360882
矢量化,矢/量化,19,39,252,897.786731787
帐户,帐/户,29,192,58,1209.35416667
辅助教学,辅助/教学,16,259,156,183.899415899
1936年生,1936年/生,15,18,859,450.516103997
监测诊断,监测/诊断,15,119,361,162.151819176
有力工具,有力/工具,12,44,952,133.038197097
锁住,锁/住,12,270,34,607.048366013
参数值,参/数值,20,36,373,691.677092642
自由曲面,自由/曲面,14,187,337,103.167108332
主线程,主线/程,37,46,853,437.904684235
样条,样/条,33,94,1008,161.73733536
左半,左/半,12,196,248,114.645819618
完工时间,完工/时间,11,13,3706,106.029972186
是非奇异,是非/奇异,13,108,309,180.903032482
语音拨号,语音/拨号,12,413,119,113.388487598
负实,负/实,12,207,239,112.641319508
帐号,帐/号,50,192,924,130.88248557
简单明了,简单/明了,12,1271,14,313.178824323
加减速,加/减速,11,459,29,383.766208399
余篇,余/篇,36,138,117,1035.43366778
回调,回/调,70,351,259,357.582197582
西安710072,西安/710072,19,257,27,1271.57342557
收到原稿,收到/原稿,89,541,130,587.670809043
1990年毕业,1990年/毕业,10,40,143,811.874125874
消隐,消/隐,13,52,266,436.458646617
VBA模块,VBA/模块,10,36,1262,102.216939602
BOOT区,BOOT/区,12,14,444,896.50965251
门限,门/限,42,185,122,864.176517501
余料,余/料,24,138,53,1523.84577523
病态行为,病态/行为,11,31,1038,158.751693704
社会承诺,社会/承诺,59,236,142,817.591549296
8月生,8月/生,10,33,859,163.824037817
紧致,紧/致,15,82,36,2359.71544715
合成全景,合成/全景,10,172,143,188.80793625
镜头渐变,镜头/渐变,13,166,29,1254.07062734
Server端,Server/端,28,80,1341,121.205965697
粘性解,粘性/解,22,30,1365,249.49020757
浮点数,浮/点数,49,83,109,2515.22139936
惩罚项,惩罚/项,12,48,1002,115.866267465
作者简介,作者/简介,398,1499,490,251.634444732
映像,映/像,14,18,475,760.407953216
密切相关,密切/相关,46,79,1234,219.129228812
链路上,链/路上,18,1038,33,244.031529164
操作员站,操作员/站,10,41,202,560.72446269
1970年生,1970年/生,20,35,859,308.925328455
全景深度,全景/深度,12,143,108,360.832944833
电子出版物,电子/出版物,16,828,20,448.687922705
同现标记,同现/标记,14,44,670,220.538941655
有着广泛,有着/广泛,12,94,469,126.405298734
缩进,缩/进,23,79,293,461.442778762
书名查询,书名/查询,16,37,1494,134.416440537
发表论文,发表/论文,46,202,299,353.687738005
专用DSS,专用/DSS,10,207,43,521.730142681
检索提问,检索/提问,21,570,50,342.183578947
专家会诊,专家/会诊,11,403,31,408.893940607
凸多面体,凸/多面体,47,144,77,1968.47258297
截止期,截止/期,19,44,848,236.477487136
主色调,主/色调,10,575,19,425.072768879
网上证券,网上/证券,17,282,95,294.686972751
图形编辑器,图形/编辑器,37,847,119,170.473187622
工程学系,工程学/系,13,20,1109,272.186474301
Type定理,Type/定理,10,24,1539,125.728828243
推论1.,推论/1.,32,151,790,124.574935032
排工序,排/工序,14,173,102,368.439759719
匝道,匝/道,49,76,108,2772.32066277
存盘,存/盘,23,172,148,419.587366436
算例,算/例,65,157,1044,184.161114772
微软,微/软,129,336,260,685.743681319
无线Modem,无线/Modem,19,126,42,1667.31821618
电话号码,电话/号码,16,173,35,1227.12997523
1974年生,1974年/生,23,34,859,365.713072656
小波系数,小波/系数,29,69,530,368.262729013
沙盒,沙/盒,15,15,221,2101.32126697
AREA表,AREA/表,15,17,2717,150.812531122
选框,选/框,11,354,114,126.581227079
人群速记,人群/速记,11,13,67,5864.88174512
找不到,找/不到,16,246,26,1161.70606629
数字家电,数字/家电,13,573,51,206.587140266
直角坐标系,直角/坐标系,17,30,142,1853.20751174
悬例,悬/例,14,33,1044,188.711482643
更具,更/具,26,1525,73,108.458944532
成功与否,成功/与否,13,427,54,261.822187527
主研,主/研,10,575,39,207.086733556
悬弧,悬/弧,12,33,252,670.118326118
合作伙伴,合作/伙伴,12,214,16,1627.54205607
1960年生,1960年/生,15,23,859,352.577820519
汇编语言,汇编/语言,20,27,1709,201.283835035
从入门,从/入门,10,3711,12,104.282762957
变迁dij,变迁/dij,11,360,28,506.776984127
零件Pi,零件/Pi,12,121,171,269.32985356
移进,移/进,23,160,293,227.837372014
求解SteinerTree,求解/SteinerTree,11,883,27,214.265844554
召回率,召回/率,21,22,599,740.038852633
气象计算器,气象/计算器,14,66,38,2592.29984051
1935年生,1935年/生,20,25,859,432.495459837
接触力,接触/力,11,105,213,228.406528057
Interval属性,Interval/属性,13,19,1564,203.159779244
缩放,缩/放,29,79,285,598.150921608
21世纪,21/世纪,24,311,83,431.774997094
前导任务,前导/任务,15,23,2648,114.374753711
赋权,赋/权,19,88,693,144.684638594
主页副本,主页/副本,15,220,76,416.619617225
Dahlin控制器,Dahlin/控制器,20,22,1806,233.762206785
hash编码,hash/编码,11,26,818,240.187699831
远大于,远/大于,14,252,227,113.65442976
感兴趣,感/兴趣,84,128,257,1185.82587549
Iprovider接口,Iprovider/接口,11,11,1232,376.941558442
光心,光/心,10,118,89,442.193867835
标称,标/称,71,368,768,116.663241621
电气自动化,电气/自动化,14,57,1120,101.840350877
分成若干,分成/若干,11,148,315,109.573401973
数控机床,数控/机床,12,36,119,1300.81792717
挂起,挂/起,36,66,358,707.555104114
初态,初/态,21,84,1057,109.837275307
擦除,擦/除,11,15,157,2169.13460722
布尔运算,布尔/运算,12,63,619,142.900838526
炉次,炉/次,42,55,1898,186.842264585
左上定位,左上/定位,10,23,412,490.071760236
联编,联/编,12,80,110,633.261818182
非常困难,非常/困难,38,484,362,100.719693165
结语,结/语,16,1492,38,131.054607027
过热,过/热,15,494,82,171.963069023
面临着,面临/着,18,88,524,181.277238029
11月生,11月/生,22,40,859,297.340628638
密码学,密码/学,41,202,314,300.184019676
极限环,极限/环,40,107,561,309.455411731
原子动作,原子/动作,27,135,668,139.039520958
挂接,挂/接,17,66,595,201.035497835
根头发,根/头发,20,268,194,178.639790737
ASP脚本,ASP/脚本,14,192,144,235.152199074
区别在于,区别/在于,29,173,339,229.634388801
玻壳,玻/壳,10,12,55,7036.24242424
意识态度,意识/态度,19,59,36,4154.16572505
标准化组织,标准化/组织,12,83,532,126.204909865
圆形容器,圆形/容器,10,28,63,2632.60770975
迫切需要,迫切/需要,19,29,2416,125.934117378
对外互联,对外/互联,15,56,126,987.227891156
隶属度,隶属/度,72,180,1101,168.7164396
原理框图,原理/框图,14,444,142,103.119654866
CSG树,CSG/树,38,53,1219,273.142167257
拨号上网,拨号/上网,11,119,100,429.269915966
12月生,12月/生,16,33,859,262.118460507
角度看,角度/看,32,328,292,155.159371868
定点数,定点/数,20,42,1864,118.636828122
8031单片机,8031/单片机,10,22,243,868.671904227
