复旦经济,句子数量,815851,方法,mi,support,10,阈值,300
复合词,复合词,复合词数量,词1数量,词2数量,方法算出值
逯谱,逯/谱,10,233,43,814.303822737
高培勇教授,高培勇/教授,14,26,540,813.526638177
斯密,斯/密,43,320,83,1320.84310994
浞掷,浞/掷,15,88,57,2439.7458134
蹲嗜,蹲/嗜,11,248,21,1723.18759601
江总书记,江/总书记,22,184,68,1434.5206202
电气机械,电气/机械,34,82,594,569.494415702
反应迟钝,反应/迟钝,11,299,18,1667.47696024
人类学笔记,人类学/笔记,14,68,29,5792.04563895
塘鱼,塘/鱼,12,47,88,2367.07253385
壑倒,壑/倒,15,99,201,614.993969546
主席格林斯潘,主席/格林斯潘,12,111,40,2205.0027027
柿俊,柿/俊,10,88,60,1545.17234848
Ｊ紫,Ｊ/紫,11,142,29,2179.30087421
挠攀,挠/攀,23,151,174,714.187904392
剩余控制权,剩余/控制权,20,578,83,340.122149498
贪污腐败,贪污/腐败,14,44,235,1104.63384913
加入世界贸易组织,加入/世界贸易组织,74,860,204,344.123198814
Ｊ剑,Ｊ/剑,12,142,147,469.014659385
臼谐,臼/谐,45,74,832,596.304817438
Ｊ健,Ｊ/健,15,142,140,615.581740443
煌耆,煌/耆,14,140,61,1337.46065574
蹲剩,蹲/剩,24,248,104,759.166563275
边检,边/检,12,138,33,2149.80500659
重化工业,重化工/业,56,79,1615,358.095826312
首脑会议,首脑/会议,54,70,670,939.359360341
翻译出版,翻译/出版,23,96,431,453.51346191
⒐芾,⒐/芾,16,161,190,426.728211834
热门话题,热门/话题,16,38,59,5822.30865299
苯拥,苯/拥,11,111,53,1525.47356791
互为因果,互为/因果,23,47,79,5053.74979801
督鹑,督/鹑,15,68,367,490.373657637
副书记,副/书记,10,324,45,559.568587106
省委党校,省委/党校,24,69,94,3018.87511563
搭便车,搭/便车,52,77,53,10395.5530507
司法鉴定,司法/鉴定,50,201,111,1828.36045
责任编辑,责任/编辑,627,1633,686,456.633837631
数理统计学,数理/统计学,17,71,256,763.064865757
蹲驶,蹲/驶,14,248,50,921.122096774
备查簿,备查/簿,10,10,70,11655.0142857
Ｎ夜,Ｎ/夜,23,145,307,421.533707739
充满生机,充满/生机,26,189,99,1133.67142323
⒄菇,⒄/菇,17,852,42,387.588503242
抵销,抵/销,29,231,192,533.452358405
鑫侍,鑫/侍,16,31,282,1493.20704644
⒄骨,⒄/骨,14,852,19,705.579070917
⒄鼓,⒄/鼓,14,852,37,362.324387768
匀唬,匀/唬,11,165,151,360.199116998
畸型,畸/型,20,30,1712,317.698987539
主辅,主/辅,22,183,82,1196.10302546
魈宓,魈/宓,21,107,154,1039.74214104
严厉打击,严厉/打击,10,67,202,602.815871139
≡瘛,≡/瘛,16,97,63,2136.08509246
⒔鹑,⒔/鹑,19,86,367,491.133926874
谕蹲,谕/蹲,11,80,248,452.336743952
灵活多样,灵活/多样,13,354,68,440.597499169
钠笠,钠/笠,43,101,945,367.558206297
绞健,绞/健,15,204,140,428.493172269
倒U,倒/U,11,201,92,485.310458577
绞剑,绞/剑,32,204,147,870.589302388
黾恿,黾/恿,11,112,26,3081.85473901
黾樱,黾/樱,11,112,36,2225.78397817
联书店,联/书店,167,365,192,1944.16548231
绅士阶层,绅士/阶层,27,57,386,1001.18066539
主板,主/板,29,183,177,730.439906147
交通不便,交通/不便,29,758,41,761.299922775
公费医疗,公费/医疗,21,22,374,2082.26434127
学术讨论会,学术/讨论会,19,439,31,1139.03806305
造币,造/币,13,87,176,692.663466562
临界值,临界/值,11,21,764,559.359324358
麦金农教授,麦金农/教授,10,35,540,431.667195767
赡艿,赡/艿,20,188,142,611.215912496
租佃,租/佃,45,350,53,1979.15336927
福利分房,福利/分房,17,824,24,701.328226133
相互依存,相互/依存,84,1562,135,324.993996301
农用生产资料,农用/生产资料,21,46,822,453.106712155
蔡ｆ,蔡/ｆ,34,55,37,13630.9257985
网上购物,网上/购物,28,318,93,772.429431257
懿棵,懿/棵,10,35,137,1701.46193952
产地批发,产地/批发,15,64,169,1131.45016642
第3卷,第3/卷,183,384,1081,359.670668074
平抑物价,平抑/物价,10,20,930,438.629569892
